Date	Close
4/30/2019	238.690002
5/1/2019	234.009995
5/2/2019	244.100006
5/3/2019	255.029999
5/6/2019	255.339996
5/7/2019	247.059998
5/8/2019	244.839996
5/9/2019	241.979996
5/10/2019	239.520004
5/13/2019	227.009995
5/14/2019	232.309998
5/15/2019	231.949997
5/16/2019	228.330002
5/17/2019	211.029999
5/20/2019	205.360001
5/21/2019	205.080002
5/22/2019	192.729996
5/23/2019	195.490005
5/24/2019	190.630005
5/28/2019	188.699997
5/29/2019	189.860001
5/30/2019	188.220001
5/31/2019	185.160004
6/3/2019	178.970001
6/4/2019	193.600006
6/5/2019	196.589996
6/6/2019	205.949997
6/7/2019	204.5
6/10/2019	212.880005
6/11/2019	217.100006
6/12/2019	209.259995
6/13/2019	213.910004
6/14/2019	214.919998
6/17/2019	225.029999
6/18/2019	224.740005
6/19/2019	226.429993
6/20/2019	219.619995
6/21/2019	221.860001
6/24/2019	223.639999
6/25/2019	219.759995
6/26/2019	219.270004
6/27/2019	222.839996
6/28/2019	223.460007
7/1/2019	227.169998
7/2/2019	224.550003
7/3/2019	234.899994
7/5/2019	233.100006
7/8/2019	230.339996
7/9/2019	230.059998
7/10/2019	238.919998
7/11/2019	238.600006
7/12/2019	245.080002
7/15/2019	253.5
7/16/2019	252.380005
7/17/2019	254.860001
7/18/2019	253.539993
7/19/2019	258.179993
7/22/2019	255.679993
7/23/2019	260.170013
7/24/2019	264.880005
7/25/2019	228.820007
7/26/2019	228.039993
7/29/2019	235.770004
7/30/2019	242.259995
7/31/2019	241.610001
8/1/2019	233.850006
8/2/2019	234.339996
8/5/2019	228.320007
8/6/2019	230.75
8/7/2019	233.419998
8/8/2019	238.300003
8/9/2019	235.009995
8/12/2019	229.009995
8/13/2019	235
8/14/2019	219.619995
8/15/2019	215.639999
8/16/2019	219.940002
8/19/2019	226.830002
8/20/2019	225.860001
8/21/2019	220.830002
8/22/2019	222.149994
8/23/2019	211.399994
8/26/2019	215
8/27/2019	214.080002
8/28/2019	215.589996
8/29/2019	221.710007
8/30/2019	225.610001
9/3/2019	225.009995
9/4/2019	220.679993
9/5/2019	229.580002
9/6/2019	227.449997
9/9/2019	231.789993
9/10/2019	235.539993
9/11/2019	247.100006
9/12/2019	245.869995
9/13/2019	245.199997
9/16/2019	242.809998
9/17/2019	244.789993
9/18/2019	243.490005
9/19/2019	246.600006
9/20/2019	240.619995
9/23/2019	241.229996
9/24/2019	223.210007
9/25/2019	228.699997
9/26/2019	242.559998
9/27/2019	242.130005
9/30/2019	240.869995
10/1/2019	244.690002
10/2/2019	243.130005
10/3/2019	233.029999
10/4/2019	231.429993
10/7/2019	237.720001
10/8/2019	240.050003
10/9/2019	244.529999
10/10/2019	244.740005
10/11/2019	247.889999
10/14/2019	256.959991
10/15/2019	257.890015
10/16/2019	259.75
10/17/2019	261.970001
10/18/2019	256.950012
10/21/2019	253.5
10/22/2019	255.580002
10/23/2019	254.679993
10/24/2019	299.679993
10/25/2019	328.130005
10/28/2019	327.709991
10/29/2019	316.220001
10/30/2019	315.01001
10/31/2019	314.920013
11/1/2019	313.309998
11/4/2019	317.470001
11/5/2019	317.220001
11/6/2019	326.579987
11/7/2019	335.540009
11/8/2019	337.140015
11/11/2019	345.089996
11/12/2019	349.929993
11/13/2019	346.109985
11/14/2019	349.350006
11/15/2019	352.170013
11/18/2019	349.98999
11/19/2019	359.519989
11/20/2019	352.220001
11/21/2019	354.829987
11/22/2019	333.040009
11/25/2019	336.339996
11/26/2019	328.920013
11/27/2019	331.290009
11/29/2019	329.940002
12/2/2019	334.869995
12/3/2019	336.200012
12/4/2019	333.029999
12/5/2019	330.369995
12/6/2019	335.890015
12/9/2019	339.529999
12/10/2019	348.839996
12/11/2019	352.700012
12/12/2019	359.679993
12/13/2019	358.390015
12/16/2019	381.5
12/17/2019	378.98999
12/18/2019	393.149994
12/19/2019	404.040009
12/20/2019	405.589996
12/23/2019	419.220001
12/24/2019	425.25
12/26/2019	430.940002
12/27/2019	430.380005
12/30/2019	414.700012
12/31/2019	418.329987
1/2/2020	430.26001
1/3/2020	443.01001
1/6/2020	451.540009
1/7/2020	469.059998
1/8/2020	492.140015
1/9/2020	481.339996
1/10/2020	478.149994
1/13/2020	524.859985
1/14/2020	537.919983
1/15/2020	518.5
1/16/2020	513.48999
1/17/2020	510.5
1/21/2020	547.200012
1/22/2020	569.559998
1/23/2020	572.200012
