Date,Open,High,Low,Close,Adj Close,Volume
2019-04-30,62.840000,64.612999,62.060001,63.590000,63.590000,8045400
2019-05-01,64.400002,65.180000,63.680000,63.689999,63.689999,6866600
2019-05-02,63.520000,64.629997,62.340000,64.389999,64.389999,6196300
2019-05-03,64.800003,65.049004,63.650002,65.019997,65.019997,4597700
2019-05-06,63.049999,66.199997,62.564999,65.750000,65.750000,8644000
2019-05-07,66.889999,68.430000,63.636002,64.410004,64.410004,13991900
2019-05-08,64.000000,65.800003,63.810001,64.919998,64.919998,12383200
2019-05-09,70.000000,83.349998,69.000000,83.169998,83.169998,56746600
2019-05-10,82.000000,86.500000,80.871002,82.750000,82.750000,25933400
2019-05-13,80.760002,84.900002,78.860001,79.449997,79.449997,22878300
2019-05-14,80.660004,83.389999,79.669998,82.830002,82.830002,10519200
2019-05-15,82.650002,84.849998,81.589996,83.339996,83.339996,10503100
2019-05-16,82.589996,84.400002,80.606003,83.279999,83.279999,11844100
2019-05-17,82.500000,87.139999,82.349998,84.029999,84.029999,16141000
2019-05-20,83.809998,85.000000,81.230003,83.330002,83.330002,11115100
2019-05-21,83.970001,87.650002,83.750000,87.629997,87.629997,10989400
2019-05-22,87.790001,89.349998,86.470001,88.019997,88.019997,10019400
2019-05-23,87.790001,90.000000,86.620003,89.980003,89.980003,11658800
2019-05-24,90.500000,95.949997,90.080002,95.779999,95.779999,19017200
2019-05-28,94.150002,95.099998,87.800003,88.830002,88.830002,21523700
2019-05-29,90.580002,94.400002,90.199997,91.800003,91.800003,17458400
2019-05-30,92.330002,94.959999,90.510002,93.339996,93.339996,11605400
2019-05-31,92.000000,93.739998,90.059998,90.400002,90.400002,10050200
2019-06-03,90.769997,92.500000,88.919998,89.709999,89.709999,10553000
2019-06-04,91.000000,93.720001,90.699997,93.599998,93.599998,7782700
2019-06-05,97.300003,102.000000,96.489998,101.709999,101.709999,23470800
2019-06-06,101.169998,101.620003,98.379997,100.250000,100.250000,12868200
2019-06-07,100.760002,104.029999,100.010002,101.870003,101.870003,10603900
2019-06-10,102.379997,103.000000,98.459999,100.610001,100.610001,10366300
2019-06-11,100.830002,101.440002,97.709999,100.199997,100.199997,10283000
2019-06-12,99.709999,105.330002,99.500000,104.860001,104.860001,12265200
2019-06-13,104.849998,105.400002,102.540001,104.970001,104.970001,7629200
2019-06-14,104.330002,106.120003,101.980003,102.019997,102.019997,7326900
2019-06-17,101.550003,104.330002,101.010002,103.839996,103.839996,5528300
2019-06-18,104.750000,104.879997,101.169998,104.389999,104.389999,6591700
2019-06-19,104.070000,106.550003,102.732002,106.489998,106.489998,5663000
2019-06-20,107.599998,108.320000,104.080002,104.900002,104.900002,6138900
2019-06-21,104.400002,104.500000,102.398003,102.570000,102.570000,4391200
2019-06-24,102.989998,103.730003,98.680000,100.029999,100.029999,7786800
2019-06-25,99.589996,99.750000,92.510002,93.250000,93.250000,12244300
2019-06-26,92.269997,95.750000,91.570000,92.300003,92.300003,8598800
2019-06-27,92.730003,94.500000,92.449997,93.230003,93.230003,5476300
2019-06-28,93.820000,94.860001,90.186996,90.580002,90.580002,11980700
2019-07-01,92.349998,94.623001,90.599998,91.370003,91.370003,5944800
2019-07-02,88.949997,93.230003,87.339996,93.050003,93.050003,12853400
2019-07-03,93.580002,94.500000,91.670998,93.510002,93.510002,7313700
2019-07-05,93.169998,98.444000,92.510002,98.110001,98.110001,12061700
2019-07-08,97.739998,104.000000,97.309998,103.250000,103.250000,12268300
2019-07-09,102.669998,104.440002,100.620003,103.400002,103.400002,10727300
2019-07-10,104.279999,105.889999,102.089996,103.500000,103.500000,8519300
2019-07-11,103.900002,104.900002,101.559998,104.540001,104.540001,9091800
2019-07-12,104.220001,105.455002,102.120003,102.470001,102.470001,7524200
2019-07-15,102.500000,104.389999,100.150002,104.339996,104.339996,6340000
2019-07-16,104.349998,113.440002,103.858002,111.940002,111.940002,21356600
2019-07-17,112.010002,112.790001,108.440002,109.339996,109.339996,11183900
2019-07-18,107.099998,110.570000,106.570000,109.019997,109.019997,9302100
2019-07-19,109.599998,110.300003,106.519997,106.849998,106.849998,6736200
2019-07-22,107.129997,109.230003,105.589996,108.599998,108.599998,5697700
2019-07-23,108.889999,110.690002,103.160004,104.919998,104.919998,9726900
2019-07-24,104.680000,108.176003,104.110001,107.660004,107.660004,6138600
2019-07-25,107.720001,109.510002,106.300003,106.889999,106.889999,5276800
2019-07-26,107.379997,111.527000,107.379997,110.449997,110.449997,6865400
2019-07-29,110.550003,111.839996,102.220001,105.129997,105.129997,10855500
2019-07-30,104.000000,106.739998,102.379997,105.760002,105.760002,4684800
2019-07-31,105.760002,107.519997,101.099998,103.330002,103.330002,5292200
2019-08-01,103.660004,105.680000,99.000000,100.845001,100.845001,5478400
2019-08-02,100.839996,102.900002,99.290001,100.529999,100.529999,4444500
2019-08-05,97.870003,102.750000,96.000000,102.570000,102.570000,7328700
2019-08-06,103.230003,105.195000,96.160004,98.480003,98.480003,11136200
2019-08-07,98.699997,103.839996,98.480003,100.970001,100.970001,13649100
2019-08-08,118.699997,123.449997,117.559998,122.029999,122.029999,27655500
2019-08-09,121.739998,128.199997,121.537003,125.320000,125.320000,14591500
2019-08-12,129.860001,136.550003,129.429993,134.300003,134.300003,19614300
2019-08-13,137.199997,142.100006,133.960007,135.330002,135.330002,20212900
2019-08-14,132.449997,134.360001,128.759995,130.570007,130.570007,11600700
2019-08-15,133.000000,133.940002,128.270004,129.399994,129.399994,9015800
2019-08-16,131.009995,131.899994,127.059998,131.039993,131.039993,6339800
2019-08-19,132.339996,135.800003,128.399994,134.960007,134.960007,9339800
2019-08-20,134.490005,137.960007,133.149994,134.259995,134.259995,6652600
2019-08-21,135.119995,140.449997,134.339996,138.580002,138.580002,8198400
2019-08-22,138.250000,139.479996,135.850006,139.139999,139.139999,6595700
2019-08-23,137.759995,143.360001,136.949997,137.740005,137.740005,11339300
2019-08-26,140.080002,145.000000,139.139999,143.009995,143.009995,11145900
2019-08-27,144.889999,147.750000,141.210007,147.020004,147.020004,19421100
2019-08-28,146.080002,147.429993,143.300003,145.889999,145.889999,9580200
2019-08-29,148.000000,150.100006,146.360001,149.880005,149.880005,10426000
2019-08-30,150.979996,153.289993,148.285004,151.360001,151.360001,10520600
2019-09-03,150.860001,157.220001,150.179993,156.880005,156.880005,12600800
2019-09-04,161.490005,169.699997,158.552002,168.910004,168.910004,28478400
2019-09-05,167.690002,169.449997,160.279999,166.929993,166.929993,23405600
2019-09-06,165.470001,170.970001,164.850006,169.860001,169.860001,14892300
2019-09-09,173.600006,176.550003,159.800003,161.029999,161.029999,23942100
2019-09-10,157.220001,158.800003,139.529999,144.139999,144.139999,34820500
2019-09-11,146.550003,149.940002,141.554993,149.759995,149.759995,18660100
2019-09-12,150.000000,152.789993,145.820007,147.779999,147.779999,14002000
2019-09-13,146.660004,148.699997,143.080002,147.550003,147.550003,9256500
2019-09-16,146.970001,152.850006,146.029999,149.539993,149.539993,11942200
2019-09-17,150.250000,152.369995,146.419998,150.520004,150.520004,11124100
2019-09-18,143.600006,145.750000,127.790001,129.880005,129.880005,38063700
2019-09-19,127.809998,134.880005,127.000000,133.759995,133.759995,25246400
2019-09-20,127.389999,127.414001,103.620003,108.050003,108.050003,64857700
2019-09-23,108.550003,111.790001,105.681000,107.370003,107.370003,28234400
2019-09-24,108.389999,110.379997,98.651001,103.529999,103.529999,37100500
2019-09-25,104.919998,107.260002,102.309998,106.300003,106.300003,20933300
2019-09-26,106.489998,106.900002,100.449997,103.339996,103.339996,15992900
2019-09-27,103.330002,103.739998,98.080002,99.739998,99.739998,17528300
2019-09-30,99.400002,103.089996,98.690002,101.760002,101.760002,13206900
2019-10-01,101.959999,105.550003,100.400002,102.400002,102.400002,16558600
2019-10-02,100.910004,105.080002,99.980003,102.620003,102.620003,14994800
2019-10-03,104.010002,109.199997,101.550003,108.839996,108.839996,22658700
2019-10-04,109.050003,109.250000,104.269997,106.769997,106.769997,20896900
2019-10-07,107.800003,110.620003,104.709999,106.250000,106.250000,21088500
2019-10-08,105.430000,109.580002,104.260002,108.000000,108.000000,13853100
2019-10-09,112.010002,118.220001,110.690002,117.790001,117.790001,28238400
2019-10-10,118.120003,121.699997,115.279999,116.129997,116.129997,25536400
2019-10-11,123.919998,124.021004,119.598000,121.599998,121.599998,23088700
2019-10-14,120.580002,122.099998,117.800003,119.120003,119.120003,14342500
2019-10-15,123.180000,132.949997,122.529999,132.820007,132.820007,26445100
2019-10-16,132.830002,134.279999,127.809998,132.500000,132.500000,22242600
